article_id,headline,section,author,published_at,primary_channel,word_count,is_premium
1001,City transit plans move ahead,News,Avery Stone,2026-06-01 08:15:00,search,840,false
1002,Inside the summer arts calendar,Culture,Jamie Lee,2026-06-02 09:00:00,social,1260,false
1003,Markets digest renewed ad spending,Business,Riley Chen,2026-06-03 07:30:00,newsletter,980,true
1004,Championship preview by the numbers,Sports,Morgan Patel,2026-06-04 10:45:00,search,1120,false
1005,How publishers retain loyal readers,Media,Casey Brooks,2026-06-05 06:55:00,newsletter,1540,true
1006,Streaming habits shift after season finales,Entertainment,Taylor Quinn,2026-06-06 11:20:00,social,910,false
100001,Transport faces fresh scrutiny,Culture,Jamie Lee,2026-06-02 07:07:00,social,1968,false
100002,Streaming draws record interest,Business,Morgan Patel,2026-06-03 08:14:00,newsletter,907,true
100003,Football signals cautious optimism,Sports,Riley Brooks,2026-06-04 09:21:00,search,659,false
100004,Schools faces fresh scrutiny,Media,Taylor Morgan,2026-06-05 10:28:00,social,1659,true
100005,Elections faces fresh scrutiny,Entertainment,Casey Reed,2026-06-06 11:35:00,newsletter,511,true
100006,Transport draws record interest,News,Jordan Quinn,2026-06-07 12:42:00,search,926,false
100007,Schools finds a wider audience,Culture,Sam Rivera,2026-06-08 13:49:00,social,504,false
100008,Schools draws record interest,Business,Avery Stone,2026-06-09 14:56:00,newsletter,1916,true
100009,Schools sparks local debate,Sports,Jamie Lee,2026-06-10 15:03:00,search,901,false
100010,Startups finds a wider audience,Media,Morgan Patel,2026-06-11 16:10:00,social,1019,true
100011,Housing draws record interest,Entertainment,Riley Brooks,2026-06-12 17:17:00,newsletter,1879,false
100012,Elections sets new agenda,News,Taylor Morgan,2026-06-13 06:24:00,search,1019,false
100013,Football draws record interest,Culture,Casey Reed,2026-06-14 07:31:00,social,2013,false
100014,Markets faces fresh scrutiny,Business,Jordan Quinn,2026-06-15 08:38:00,newsletter,639,true
100015,Elections faces fresh scrutiny,Sports,Sam Rivera,2026-06-16 09:45:00,search,1185,true
100016,Markets finds a wider audience,Media,Avery Stone,2026-06-17 10:52:00,social,991,true
100017,Housing signals cautious optimism,Entertainment,Jamie Lee,2026-06-18 11:59:00,newsletter,1390,false
100018,Schools faces fresh scrutiny,News,Morgan Patel,2026-06-19 12:06:00,search,2338,false
100019,Elections faces fresh scrutiny,Culture,Riley Brooks,2026-06-20 13:13:00,social,1580,false
100020,Streaming signals cautious optimism,Business,Taylor Morgan,2026-06-21 14:20:00,newsletter,1716,true
100021,Markets finds a wider audience,Sports,Casey Reed,2026-06-22 15:27:00,search,843,false
100022,Transport faces fresh scrutiny,Media,Jordan Quinn,2026-06-23 16:34:00,social,1804,true
100023,Theatre sets new agenda,Entertainment,Sam Rivera,2026-06-24 17:41:00,newsletter,613,false
100024,Theatre faces fresh scrutiny,News,Avery Stone,2026-06-25 06:48:00,search,1228,false
100025,Streaming sparks local debate,Culture,Jamie Lee,2026-06-26 07:55:00,social,1751,true
100026,Markets draws record interest,Business,Morgan Patel,2026-06-27 08:02:00,newsletter,1208,true
100027,Markets draws record interest,Sports,Riley Brooks,2026-06-28 09:09:00,search,1822,false
100028,Streaming signals cautious optimism,Media,Taylor Morgan,2026-06-29 10:16:00,social,2368,true
100029,Transport finds a wider audience,Entertainment,Casey Reed,2026-06-30 11:23:00,newsletter,1750,false
100030,Football finds a wider audience,News,Jordan Quinn,2026-07-01 12:30:00,search,1943,true
100031,Theatre draws record interest,Culture,Sam Rivera,2026-07-02 13:37:00,social,1396,false
100032,Elections sets new agenda,Business,Avery Stone,2026-07-03 14:44:00,newsletter,2345,true
100033,Schools draws record interest,Sports,Jamie Lee,2026-07-04 15:51:00,search,1852,false
100034,Markets faces fresh scrutiny,Media,Morgan Patel,2026-07-05 16:58:00,social,919,true
100035,Housing sets new agenda,Entertainment,Riley Brooks,2026-07-06 17:05:00,newsletter,1271,true
100036,Streaming faces fresh scrutiny,News,Taylor Morgan,2026-07-07 06:12:00,search,882,false
100037,Restaurants signals cautious optimism,Culture,Casey Reed,2026-07-08 07:19:00,social,1094,false
100038,Theatre signals cautious optimism,Business,Jordan Quinn,2026-07-09 08:26:00,newsletter,1472,true
100039,Elections signals cautious optimism,Sports,Sam Rivera,2026-07-10 09:33:00,search,1389,false
100040,Football sets new agenda,Media,Avery Stone,2026-07-11 10:40:00,social,735,true
